id,Question Text,Option (a),Option (b),Option (c),Option (d)
1,Consider the following types of vehicles: I. Full battery electric vehicles II. Hydrogen fuel cell vehicles III. Fuel cell-electric hybrid vehicles. How many of the above are considered as alternative powertrain vehicles?,Only one,Only two,All the three,None
2,"With reference to Unmanned Aerial Vehicles (UAVs), consider the following statements: 1. All types of UAVs can do vertical landing. II. All types of UAVs can do automated hovering. III. All types of UAVs can use battery only as a source of power supply.",Only one,Only two,All the three,None
3,"In the context of electric vehicle batteries, consider the following elements: 1. Cobalt II. Graphite III. Lithium IV. Nickel. How many of the above usually make up battery cathodes?",Only one,Only two,Only three,All the four
4,Consider the following: 1. Cigarette butts II. Eyeglass lenses III. Car tyres. How many of them contain plastic?,Only one,Only two,All the three,None
5,Consider the following substances: 1. Ethanol II. Nitroglycerine III. Urea. Coal gasification technology can be used in the production of how many of them?,Only one,Only two,All the three,None
6,"What is the common characteristic of the chemical substances generally known as CL-20, HMX and LLM-105, which are sometimes talked about in media?",These are alternatives to hydrofluorocarbon refrigerants,These are explosives used in military weapons,These are high-energy fuels for cruise missiles,These are fuels for rocket propulsion
7,Consider the following statements: I. It is expected that Majorana I chip will enable quantum computing. II. Majorana I chip has been introduced by Amazon Web Services (AWS). III. Deep learning is a subset of machine learning.,I and II only,II and III only,I and III only,"I, II and III"
8,"With reference to monoclonal antibodies, often mentioned in news, consider the following statements: I. They are man-made proteins. II. They stimulate immunological function due to their ability to bind to specific antigens. III. They are used in treating viral infections like that of Nipah virus.",I and II only,II and III only,I and III only,"I, II and III"
9,Consider the following statements: 1. No virus can survive in ocean waters. II. No virus can infect bacteria. III. No virus can change the cellular transcriptional activity in host cells.,Only one,Only two,All the three,None
10,Consider the following statements: Statement I: Activated carbon is a good and an attractive tool to remove pollutants from effluent streams... Statement II: Activated carbon exhibits a large surface area and a strong potential for adsorbing heavy metals. Statement III: Activated carbon can be easily synthesized from environmental wastes...,Both Statement II and Statement III are correct and both of them explain Statement I,Both Statement II and Statement III are correct but only one of them explains Statement I,Only one of the Statements II and III is correct and that explains Statement I,Neither Statement II nor Statement III is correct
11,Consider the following statements: Statement I: Studies indicate that carbon dioxide emissions from cement industry account for more than 5% of global carbon emissions. Statement II: Silica-bearing clay is mixed with limestone while manufacturing cement. Statement III: Limestone is converted into lime during clinker production...,Both Statement II and Statement III are correct and both of them explain Statement I,Both Statement II and Statement III are correct but only one of them explains Statement I,Only one of the Statements II and III is correct and that explains Statement I,Neither Statement II nor Statement III is correct
12,"Consider the following statements: Statement I: At the 28th United Nations Climate Change Conference (COP28), India refrained from signing the 'Declaration on Climate and Health'. Statement II: The COP 28 Declaration on Climate and Health is a binding declaration... Statement III: If India's health sector is decarbonized...",Both Statement II and Statement III are correct and both of them explain Statement I,Both Statement II and Statement III are correct but only one of them explains Statement I,Only one of the Statements II and III is correct and that explains Statement I,Neither Statement II nor Statement III is correct
13,"Consider the following statements: Statement I: Scientific studies suggest that a shift is taking place in the Earth's rotation and axis. Statement II: Solar flares and associated coronal mass ejections bombarded the Earth's outermost atmosphere... Statement III: As the Earth's polar ice melts, the water tends to move towards the equator.",Both Statements II and III are correct and both of them explain Statement I,Both Statement II and Statement III are correct but only one of them explains Statement I,Only one of the Statement II and III is correct and that explains Statement I,Neither Statement II nor Statement III is correct
14,Consider the following statements: Statement I: Article 6 of the Paris Agreement on climate change is frequently discussed in global discussions... Statement II: Article 6 of the Paris Agreement... sets out the principles of carbon markets. Statement III: Article 6 of the Paris Agreement... intends to promote inter-country non-market strategies...,Both Statement II and Statement III are correct and both of them explain Statement I,Both Statement II and Statement III are correct but only one of them explains Statement I,Only one of the Statements II and III is correct and that explains Statement I,Neither Statement II nor Statement III is correct
