Question_ID,Question,Best_Match_Score,Source_PDF,Page_Num,Extracted_Text
1,Consider the following types of vehicles: I. Full battery electric vehicles II. Hydrogen fuel cell vehicles III. Fuel cell-electric hybrid vehicles. How many of the above are considered as alternative powertrain vehicles?,0.9886215925216675,April 2025 Monthly Current Affairs Magazine (1).pdf,83,"Fuel Cell Electric Vehicles (FCEVs), Industry (Fertilizer Refinery), Transport (Road, Rail), etc."
2,"With reference to Unmanned Aerial Vehicles (UAVs), consider the following statements: 1. All types of UAVs can do vertical landing. II. All types of UAVs can do automated hovering. III. All types of UAVs can use battery only as a source of power supply.",-1.813316822052002,August 2024 Monthly Current Affairs Magazine.pdf,113,"107 ©Vision IAS • Logistical efficiency: They eliminate the need for traditional (physical) ammunition and mechanical loading, relying instead on a power source, which can simplify supply chains. • Precision: Light and other forms of directed energy are unaffected by gravity, wind, or Coriolis force, allowing for highly accurate targeting. • Stealth: Many DEWs operate silently and invisibly, especially those outside the visible spectrum, making them difficult to detect. • Countering Low-cost drones and rockets: DEWs can target large volumes of cheap unmanned systems and munitions, which can overwhelm current air and missile defences. Challenges of DEWs • Technological limitations: DEWs are generally less effective the farther they are from the target, and atmospheric conditions and cooling"
3,"In the context of electric vehicle batteries, consider the following elements: 1. Cobalt II. Graphite III. Lithium IV. Nickel. How many of the above usually make up battery cathodes?",-4.12663459777832,July 2024 Monthly Current Affairs Magazine.pdf,55,"if the electricity used to charge them is generated from fossil fuels. o Coal (including lignite) contributes about 50% of total electricity generation in India (Ministry of Power). • Lack of Standardisation: Different manufacturers adopt varying battery chemistries, charging connectors, and powertrain configurations. • E-Waste Management: About 90% of used batteries are either processed by unorganized industry or end up in landfills and garbage dumps. o India ranks third in e-waste generation after China and the USA. (Global e-waste monitor, 2024) • Complex/Vulnerable Supply Chain: E-mobility value chain heavily depend on imports of key elements such as cobalt, lithium, and nickel. o Lithium resources are mainly concentrated in the Lithium Triangle (encompasses region of Argentina,"
4,Consider the following: 1. Cigarette butts II. Eyeglass lenses III. Car tyres. How many of them contain plastic?,-10.017343521118164,January 2025 Monthly Current Affairs Magazine.pdf,97,"94 ©Vision IAS Challenges related to handling of Global Plastic Waste • Scalability: Globally, plastic waste has more than doubled since 2000 (OECD’s Global Plastic Outlook Report, 2022). o In 2024, India became the world’s largest plastic emitter country • Limited Recycling: Only 9% of plastic waste was ultimately recycled, while 19% was incinerated and almost 50% went to sanitary landfills. Impact of Plastic Waste • On Environment: It affects all land, freshwater, and marine ecosystems. It leads to biodiversity loss, ecosystem degradation and contributes to climate change. o Plastic pollution is responsible for an estimated 1.8 billion tonnes of greenhouse gas emissions annually, especially Methane from landfills. • On Health: Plastics in the form of microplastics damages animal and"
5,Consider the following substances: 1. Ethanol II. Nitroglycerine III. Urea. Coal gasification technology can be used in the production of how many of them?,-4.451539039611816,June 2024 Monthly Current Affairs Magazine.pdf,78,"energy manufacturing process whereby coal is gasified or chemically converted into a synthesis gas (syngas) in its original coal seam. o UCG gas is similar to surface coal gasification gas, typically a mixture of methane (CH4), carbon dioxide (CO2), hydrogen (H2) and carbon monoxide (CO). • UCG is the in-situ combustion of the coal seam to produce usable gas. o The process is initiated by injecting steam and air/oxygen into the seam and igniting it, requiring temperatures over 1000°C. o The resulting products vary based on coal type, temperature, pressure, and whether air or oxygen is used for combustion. Products of UCG • Electricity: The hot syngas from UCG can be used to make steam to drive a steam turbine that generates electricity or it can be combusted to produce steam to drive an"
6,"What is the common characteristic of the chemical substances generally known as CL-20, HMX and LLM-105, which are sometimes talked about in media?",-9.031636238098145,April 2025 Monthly Current Affairs Magazine (1).pdf,27,"found in abundance in the Earth’s crust. o However, they’re rarely found in concentrations that are economically viable for mining. • They were named “rare-earth elements” because most were identified during the 18th and 19th centuries as “earths Elements” and, in comparison to other “earths Elements,” such as lime or magnesia, they were relatively rare. o Earth’s Elements are defined as materials that cannot be changed further by heat. • Rare Earth Elements (RREs): As per the International Union of Pure and Applied Chemistry (IUPAC) in 2005, are a group of 17 elements. o These elements share similar properties such as high density and high conductivity. o cerium (Ce), dysprosium (Dy), erbium (Er), europium (Eu), gadolinium (Gd), holmium (Ho), lanthanum (La), lutetium (Lu), neodymium"
7,Consider the following statements: I. It is expected that Majorana I chip will enable quantum computing. II. Majorana I chip has been introduced by Amazon Web Services (AWS). III. Deep learning is a subset of machine learning.,-3.686628818511963,June 2024 Monthly Current Affairs Magazine.pdf,98,"96 ©Vision IAS o In first quantum revolution, discovery of quantum mechanics and its properties has been done. It enabled inventions such as the laser, transistor etc. • About Semiconductor Chips o An essential component of all modern electronic devices. o Act as the brain of devices across industries such as communications, computing, healthcare, military systems etc. o Made from pure elements, typically silicon or germanium, or compounds such as gallium arsenide. 7.2. OUTER SPACE GOVERNANCE Why in the News? Armenia has joined as the 43rd signatory nation to NASA’s Artemis Accords for lunar exploration. About Artemis Accords • Established: In 2020 by NASA, in coordination with the US Department of State, together with seven other founding member nations (Australia, Canada, Italy, Japan,"
8,"With reference to monoclonal antibodies, often mentioned in news, consider the following statements: I. They are man-made proteins. II. They stimulate immunological function due to their ability to bind to specific antigens. III. They are used in treating viral infections like that of Nipah virus.",-4.6900634765625,October 2024 Monthly Current Affairs Magazine.pdf,93,"E.g., Actin, found in the filaments of muscle fibres, provides mechanical support and determines cell shape. • Catalysts: Proteins act as enzymes, facilitating biochemical reactions. E.g., amylase breaks down starches into sugars during digestion. • Hormones: Some proteins function as chemical-signaling molecules called hormones. E.g., Insulin plays a key role in regulating metabolism. • Antibody: Antibodies bind to specific foreign particles, such as viruses and bacteria, to help protect the body. E.g., Immunoglobulin G (IgG) etc. • Transport/storage: These proteins bind and carry atoms and small molecules within cells and throughout the body. E.g., Ferritin stores iron in cells and GLUT-4 enables glucose transport into cells. 7.2. NOBEL PRIZE IN MEDICINE 2024 Why in the news? Nobel"
9,Consider the following statements: 1. No virus can survive in ocean waters. II. No virus can infect bacteria. III. No virus can change the cellular transcriptional activity in host cells.,-6.414056301116943,August 2024 Monthly Current Affairs Magazine.pdf,90,"since 1960s. o More than 500 low-oxygen sites have been identified in coastal waters. • Other water bodies: Lakes and reservoirs have experienced oxygen losses of 5.5 and 18.6 % respectively since 1980. Reasons underscoring AD • Global Warming caused by GHG: Rise in temperatures decreases solubility of oxygen in water. o Also, warm surface layers in ocean prevent oxygen from mixing deeper into ocean (leading to low oxygen level in deep sea waters) • Eutrophication: Nutrient over enrichment from anthropogenic sources (e.g. agriculture) leads to algal blooms and increased consumption of oxygen. Impact on Ecosystems • Occurrences of dead zones and ocean hypoxia effect • Habitat compression (reducing quality and quantity of suitable habitat) for fisheries leads to reduced biomass, species"
10,Consider the following statements: Statement I: Activated carbon is a good and an attractive tool to remove pollutants from effluent streams... Statement II: Activated carbon exhibits a large surface area and a strong potential for adsorbing heavy metals. Statement III: Activated carbon can be easily synthesized from environmental wastes...,-1.934399127960205,September 2024 Monthly Current Affairs Magazine.pdf,58,"55 ©Vision IAS Significance of Scrapping of Old Vehicles • Environmental: Older vehicles typically have outdated technology and poor fuel efficiency, which leads to higher emissions of pollutants like carbon dioxide (CO₂), nitrogen oxides (NOx), and particulate matter (PM). o Scrapping them reduces air pollution, helping to combat climate change and improve urban air quality. • Economic: It will also encourage people to purchase new vehicles, thereby stimulating demand in the automobile industry. • Circular economy: Scrapping of old vehicles allows for the recovery of valuable materials like steel, aluminum, copper, rubber, etc., reducing the need for mining and manufacturing raw materials. • Road safety: Removing older vehicle, which lack modern safety features, from the roads increases"
